2026-03-03 13:03:57 | Object: PingPong | Confidence: 0.80
2026-03-03 13:03:57 | Object: PingPong | Confidence: 0.49
2026-03-03 13:03:57 | Object: PingPong | Confidence: 0.82
2026-03-03 13:03:57 | Object: PingPong | Confidence: 0.52
2026-03-03 13:03:58 | Object: PingPong | Confidence: 0.78
2026-03-03 13:03:58 | Object: PingPong | Confidence: 0.51
2026-03-03 13:03:58 | Object: PingPong | Confidence: 0.80
2026-03-03 13:03:58 | Object: PingPong | Confidence: 0.51
2026-03-03 13:03:58 | Object: PingPong | Confidence: 0.79
2026-03-03 13:03:58 | Object: PingPong | Confidence: 0.51
2026-03-03 13:03:59 | Object: PingPong | Confidence: 0.80
2026-03-03 13:03:59 | Object: PingPong | Confidence: 0.50
2026-03-03 13:03:59 | Object: PingPong | Confidence: 0.80
2026-03-03 13:03:59 | Object: PingPong | Confidence: 0.53
2026-03-03 13:03:59 | Object: PingPong | Confidence: 0.82
2026-03-03 13:03:59 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:00 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:00 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:00 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:00 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:00 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:00 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:01 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:01 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:01 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:01 | Object: PingPong | Confidence: 0.47
2026-03-03 13:04:01 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:01 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.54
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:02 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:03 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:03 | Object: PingPong | Confidence: 0.54
2026-03-03 13:04:03 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:03 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:04 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:04 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:04 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:04 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:04 | Object: PingPong | Confidence: 0.82
2026-03-03 13:04:04 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:05 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:05 | Object: PingPong | Confidence: 0.47
2026-03-03 13:04:05 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:05 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:05 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:05 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:06 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:06 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:06 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:06 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:06 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:06 | Object: PingPong | Confidence: 0.46
2026-03-03 13:04:07 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:07 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:07 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:07 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:07 | Object: PingPong | Confidence: 0.82
2026-03-03 13:04:07 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:08 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:08 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:08 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:08 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:08 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:08 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:09 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:09 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:09 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:09 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:09 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:09 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:10 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:11 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:11 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:11 | Object: PingPong | Confidence: 0.82
2026-03-03 13:04:11 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:11 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:11 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.47
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:12 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:13 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:13 | Object: PingPong | Confidence: 0.47
2026-03-03 13:04:13 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:13 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:13 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:13 | Object: PingPong | Confidence: 0.46
2026-03-03 13:04:14 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:14 | Object: PingPong | Confidence: 0.47
2026-03-03 13:04:33 | Object: PingPong | Confidence: 0.76
2026-03-03 13:04:33 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:35 | Object: PingPong | Confidence: 0.76
2026-03-03 13:04:35 | Object: PingPong | Confidence: 0.54
2026-03-03 13:04:36 | Object: PingPong | Confidence: 0.77
2026-03-03 13:04:36 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:36 | Object: PingPong | Confidence: 0.77
2026-03-03 13:04:36 | Object: PingPong | Confidence: 0.54
2026-03-03 13:04:36 | Object: PingPong | Confidence: 0.77
2026-03-03 13:04:36 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:37 | Object: PingPong | Confidence: 0.75
2026-03-03 13:04:37 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:37 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:37 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:37 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:37 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.77
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:38 | Object: PingPong | Confidence: 0.48
2026-03-03 13:04:39 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:39 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:39 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:39 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:39 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:39 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:40 | Object: PingPong | Confidence: 0.82
