2026-04-22 13:55:42 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:42 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:55:42 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:43 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:43 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:43 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:43 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:43 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:43 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:44 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:44 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:55:44 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:44 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:55:44 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:44 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:45 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:45 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:55:45 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:45 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:46 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:46 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:46 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:46 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:46 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:46 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:47 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:47 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:47 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:47 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:48 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:48 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:48 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:48 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:48 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:48 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:49 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:49 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:49 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:49 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:55:49 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:49 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:50 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:50 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:50 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:55:50 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:50 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:55:50 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:51 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:51 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:51 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:51 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:52 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:52 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:55:52 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:52 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:52 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:55:52 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:53 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:55:53 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:53 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:53 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:53 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:53 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:54 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:54 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:54 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:54 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:54 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:54 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:55 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:55 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:55:55 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:55 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:56 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:56 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:56 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:56 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:56 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:56 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:57 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:57 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:55:57 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:57 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:57 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:57 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:58 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:58 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:58 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:58 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:58 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:58 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:59 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:59 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:59 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:55:59 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:55:59 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:55:59 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:00 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:00 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:00 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:00 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:00 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:00 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:01 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:01 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:02 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:02 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:03 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:03 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:04 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:04 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:04 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:04 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:05 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:05 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:05 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:05 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:05 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:05 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:06 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:06 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:06 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:06 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:06 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:06 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:07 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:07 | Object: ping pong ball | Confidence: 0.74
